Modelo,Accuracy,Precision,Recall,F1 Score,ROC AUC
LogReg 81,0.9285714285714286,0.92991452991453,0.9285714285714286,0.9284802043422732,0.9821428571428572
LogReg 31,0.9285714285714286,0.92991452991453,0.9285714285714286,0.9284802043422732,0.9821428571428572
LogReg 20,0.9285714285714286,0.92991452991453,0.9285714285714286,0.9284802043422732,0.9821428571428572
Calibrated SVM linear,0.9285714285714286,0.92991452991453,0.9285714285714286,0.9284802043422732,0.9931972789115648
LogReg 1,0.9285714285714286,0.92991452991453,0.9285714285714286,0.9284802043422732,0.9821428571428572
