Modelo,Accuracy,Precision,Recall,F1 Score,ROC AUC
DecTree d5,0.9523809523809524,0.9583333333333334,0.9523809523809524,0.952136752136752,0.9642857142857144
DecTree d3,0.9523809523809524,0.9583333333333334,0.9523809523809524,0.952136752136752,0.9642857142857144
Bagging DT d10,0.9285714285714286,0.9411764705882352,0.9285714285714286,0.9277419354838712,0.9800170068027212
GradBoost 150,0.9285714285714286,0.9411764705882352,0.9285714285714286,0.9277419354838712,0.9787414965986396
"MLP (50,)",0.9285714285714286,0.9411764705882352,0.9285714285714286,0.9277419354838712,0.9829931972789115
