Modelo,Accuracy,Precision,Recall,F1 Score,ROC AUC
DecTree dNone,0.9523809523809523,0.9583333333333334,0.9523809523809523,0.9521367521367521,0.9642857142857143
DecTree d10,0.9523809523809523,0.9583333333333334,0.9523809523809523,0.9521367521367521,0.9642857142857143
ExtraTrees 150,0.9285714285714286,0.9411764705882353,0.9285714285714286,0.9277419354838711,0.9770408163265305
Bagging DT dNone,0.9285714285714286,0.9411764705882353,0.9285714285714286,0.9277419354838711,0.9851190476190476
Bagging DT d3,0.9285714285714286,0.9411764705882353,0.9285714285714286,0.9277419354838711,0.9804421768707483
