Modelo,Accuracy,Precision,Recall,F1 Score,ROC AUC
DecTree dNone,0.9523809523809523,0.9583333333333334,0.9523809523809523,0.9521367521367521,0.9642857142857143
LogReg 14,0.9285714285714286,0.9299145299145299,0.9285714285714286,0.9284802043422732,0.9821428571428571
LogReg 46,0.9285714285714286,0.9299145299145299,0.9285714285714286,0.9284802043422732,0.9821428571428571
Calibrated SVM linear,0.9285714285714286,0.9299145299145299,0.9285714285714286,0.9284802043422732,0.9931972789115647
LogReg 79,0.9285714285714286,0.9299145299145299,0.9285714285714286,0.9284802043422732,0.9821428571428571
